date,time,location,latitude,longitude,crime_type,severity,district,city,state
2024-01-15,14:30,"123, MG Road, Koramangala, Bangalore",12.9352,77.6245,Chain Snatching,High,"Koramangala, Bangalore, Karnataka"
2024-01-16,22:15,"456, Brigade Road, Indiranagar, Bangalore",12.9716,77.6412,Mobile Phone Theft,Medium,"Indiranagar, Bangalore, Karnataka"
2024-01-17,09:45,"789, Commercial Street, Whitefield, Bangalore",12.9698,77.7500,Vehicle Theft,Critical,"Whitefield, Bangalore, Karnataka"
2024-01-18,18:20,"321, Park Street, Salt Lake, Kolkata",22.5726,88.3639,Theft,Medium,"Salt Lake, Kolkata, West Bengal"
2024-01-19,11:30,"654, Anna Salai, T. Nagar, Chennai",13.0827,80.2707,Burglary,High,"T. Nagar, Chennai, Tamil Nadu"
2024-01-20,20:45,"987, Linking Road, Bandra, Mumbai",19.0596,72.8295,Chain Snatching,High,"Bandra, Mumbai, Maharashtra"
2024-01-21,07:15,"147, Connaught Place, CP, Delhi",28.6315,77.2167,Mobile Phone Theft,Low,"CP, Delhi, Delhi"
2024-01-22,16:30,"258, CG Road, Navrangpura, Ahmedabad",23.0225,72.5714,Fraud/Cheating,Medium,"Navrangpura, Ahmedabad, Gujarat"
2024-01-23,13:45,"369, MI Road, Pink City, Jaipur",26.9124,75.7873,Theft,Medium,"Pink City, Jaipur, Rajasthan"
2024-01-24,21:00,"741, FC Road, Koregaon Park, Pune",18.5204,73.8567,Vehicle Theft,High,"Koregaon Park, Pune, Maharashtra"
2024-01-25,08:30,"852, Adajan, Vesu, Surat",21.1702,72.8311,Burglary,Medium,"Vesu, Surat, Gujarat"
2024-01-26,19:15,"963, Banjara Hills, Jubilee Hills, Hyderabad",17.3850,78.4867,Cybercrime,High,"Jubilee Hills, Hyderabad, Telangana"
2024-01-27,12:00,"159, Electronic City, HSR Layout, Bangalore",12.8456,77.6632,Theft,Low,"HSR Layout, Bangalore, Karnataka"
2024-01-28,23:30,"267, Howrah, Ballygunge, Kolkata",22.5448,88.3426,Chain Snatching,Critical,"Ballygunge, Kolkata, West Bengal"
2024-01-29,06:45,"378, Anna Nagar, Adyar, Chennai",13.0067,80.2206,Mobile Phone Theft,Medium,"Adyar, Chennai, Tamil Nadu"
2024-01-30,17:20,"489, Hill Road, Andheri, Mumbai",19.1136,72.8697,Vehicle Theft,High,"Andheri, Mumbai, Maharashtra"
2024-02-01,14:15,"591, Karol Bagh, Lajpat Nagar, Delhi",28.6519,77.2315,Domestic Violence,Critical,"Lajpat Nagar, Delhi, Delhi"
2024-02-02,10:30,"602, SG Highway, Satellite, Ahmedabad",23.0395,72.5066,Fraud/Cheating,High,"Satellite, Ahmedabad, Gujarat"
2024-02-03,20:45,"713, Tonk Road, Malviya Nagar, Jaipur",26.8467,75.8056,Assault,High,"Malviya Nagar, Jaipur, Rajasthan"
2024-02-04,15:00,"824, JM Road, Baner, Pune",18.5679,73.7797,Theft,Medium,"Baner, Pune, Maharashtra"
2024-02-05,22:30,"935, Althan, Piplod, Surat",21.2180,72.8347,Burglary,High,"Piplod, Surat, Gujarat"
2024-02-06,09:15,"146, Secunderabad, Gachibowli, Hyderabad",17.4399,78.3489,Cybercrime,Medium,"Gachibowli, Hyderabad, Telangana"
2024-02-07,18:45,"257, Jayanagar, Malleshwaram, Bangalore",12.9279,77.5619,Chain Snatching,High,"Malleshwaram, Bangalore, Karnataka"
2024-02-08,11:20,"368, Gariahat, Alipore, Kolkata",22.5205,88.3399,Mobile Phone Theft,Low,"Alipore, Kolkata, West Bengal"
2024-02-09,16:30,"479, Velachery, Tambaram, Chennai",12.9249,80.1467,Vehicle Theft,Critical,"Tambaram, Chennai, Tamil Nadu"
2024-02-10,21:15,"580, SV Road, Borivali, Mumbai",19.2307,72.8567,Theft,Medium,"Borivali, Mumbai, Maharashtra"
2024-02-11,07:45,"691, Nehru Place, Rajouri Garden, Delhi",28.5355,77.1200,Drug Peddling,Critical,"Rajouri Garden, Delhi, Delhi"
2024-02-12,13:00,"702, Ashram Road, Bopal, Ahmedabad",23.0395,72.4292,Fraud/Cheating,High,"Bopal, Ahmedabad, Gujarat"
2024-02-13,19:30,"813, Ajmer Road, Vaishali Nagar, Jaipur",26.9270,75.7270,Domestic Violence,High,"Vaishali Nagar, Jaipur, Rajasthan"
2024-02-14,12:45,"924, Bund Garden Road, Wakad, Pune",18.5975,73.7898,Assault,Medium,"Wakad, Pune, Maharashtra"
2024-02-15,23:00,"135, Rander, Katargam, Surat",21.2514,72.8328,Burglary,High,"Katargam, Surat, Gujarat"
2024-02-16,08:15,"246, Hitech City, Kondapur, Hyderabad",17.4569,78.3677,Cybercrime,High,"Kondapur, Hyderabad, Telangana"
2024-02-17,17:30,"357, Rajajinagar, Basavanagudi, Bangalore",12.9440,77.5619,Chain Snatching,Medium,"Basavanagudi, Bangalore, Karnataka"
2024-02-18,10:45,"468, Esplanade, Sealdah, Kolkata",22.5726,88.3639,Mobile Phone Theft,High,"Sealdah, Kolkata, West Bengal"
